STT,TÃƒÂªn quÃƒÂ¡n,Ã„ÂÃ¡Â»â€¹a chÃ¡Â»â€°,Ã„ÂiÃ¡Â»â€¡n thoÃ¡ÂºÂ¡i,Rating,Latitude,Longitude,Distance,IsDelivery,IsOpening,Google Maps
23,LT - 45 - Bún Gà Chanh Ớt,"Hẻm Liên Tổ 4 - 5 Nguyễn Văn Linh, Quận Ninh Kiều, Cần Thơ",0949515191,9.7,10.025058,105.759259,2.793580845883292,False,True,"https://www.google.com/maps?q=10.025058,105.759259"
24,Vĩnh Phát - Vịt Quay & Cơm Phần - Nguyễn Đệ,"118 Nguyễn Đệ, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,9.0,10.048747,105.76307,2.9510813314143065,True,True,"https://www.google.com/maps?q=10.048747,105.76307"
25,"Quán Minh - Phở, Bò Kho","15 Đề Thám, P. An Cư, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,8.28,10.0334008,105.7833344,0.1820961701541503,True,False,"https://www.google.com/maps?q=10.0334008,105.7833344"
26,Phở Tàu Bay - 30 Tháng 4,"94 Đường 30 Tháng 4, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.56,10.02932,105.779628,0.535742315914469,False,True,"https://www.google.com/maps?q=10.02932,105.779628"
27,Lẩu Dê Đức Quân,"127/5 Võ Văn Kiệt, P. An Hòa, Quận Ninh Kiều, Cần Thơ",0962 458 279,6.6,10.052354,105.752429,4.128346376519409,False,True,"https://www.google.com/maps?q=10.052354,105.752429"
28,Bún Riêu Cua - Võ Thị Sáu,"8 Võ Thị Sáu, P. An Hội, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.734,10.037343,105.7858273,0.6527770498328466,True,True,"https://www.google.com/maps?q=10.037343,105.7858273"
29,Cơm Tấm Long Xuyên Gia Bảo,"118/12 Trần Hoàng Na, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,5.0,10.014678,105.761871,3.069725347554426,True,False,"https://www.google.com/maps?q=10.014678,105.761871"
30,"ND Quán - Cơm Heo Quay, Cơm Tấm & Bún Xào","318 Nguyễn Văn Linh, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.932,10.0283505,105.7545438,3.2301100987939906,True,False,"https://www.google.com/maps?q=10.0283505,105.7545438"
31,Han Cook - Quán Ăn Hàn Quốc,"290/27 Lê Bình, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,8.062,10.0212002,105.768446,2.0572580522227444,True,True,"https://www.google.com/maps?q=10.0212002,105.768446"
32,Hủ Tiếu Đông Hồ,"73 Đường 30 Tháng 4, Quận Ninh Kiều, Cần Thơ",(0292) 3 824 199,5.566,10.029184,105.779635,0.5431468973351834,False,False,"https://www.google.com/maps?q=10.029184,105.779635"
33,Bánh Ướt 119,"69/2 Cách Mạng Tháng 8, P. An Hòa, Quận Ninh Kiều, Cần Thơ",01216 670 689,7.666,10.049578,105.774857,2.205435002088245,False,True,"https://www.google.com/maps?q=10.049578,105.774857"
34,Quán Nướng Đào Hoa Đảo,"6B Trương Định, P. An Hội, Quận Ninh Kiều, Cần Thơ",(0292) 3 819 728,6.766,10.037845,105.784983,0.6820722950323996,True,True,"https://www.google.com/maps?q=10.037845,105.784983"
35,Castella Taiwan - Bánh Bông Lan Tươi Đài Loan,"29 Ngô Văn Sở, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,6.558,10.033884,105.785675,0.30759597012843404,True,True,"https://www.google.com/maps?q=10.033884,105.785675"
36,Hải Sản Ba Cua 2,"170 Cách Mạng Tháng 8, P. Bình Thủy, Quận Bình Thủy, Cần Thơ",Đang cập nhật,5.726,10.0569338576874,105.7686320319772,3.251634119700017,True,False,"https://www.google.com/maps?q=10.0569338576874,105.7686320319772"
37,Bánh Hot Dog,"342 Nguyễn Văn Cừ, P. An Hòa, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,9.0,10.043367,105.764778,2.4487163411975854,False,True,"https://www.google.com/maps?q=10.043367,105.764778"
38,Bánh Xèo & Bánh Khọt - Trần Việt Châu,"35/39 Bà Huyện Thanh Quan, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,8.0,10.0461349742995,105.77740855515,1.7396444794747656,False,True,"https://www.google.com/maps?q=10.0461349742995,105.77740855515"
39,Bún Cà Ri Vịt,"Phan Đăng Lưu, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.0,10.0452082825031,105.7793900370598,1.5656904950092325,False,True,"https://www.google.com/maps?q=10.0452082825031,105.7793900370598"
40,Quán Ốc Loan - Ốc Ngon Gỏi Ăn Vặt,"75 Phan Đăng Lưu, P. An Hòa, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.33,10.045392,105.779229,1.590625719731015,True,False,"https://www.google.com/maps?q=10.045392,105.779229"
41,Bún Thịt Xào - Bà Huyện Thanh Quan,"14 Bà Huyện Thanh Quan, P. Thới Bình, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.674,10.045768,105.778909,1.6415207130047238,True,False,"https://www.google.com/maps?q=10.045768,105.778909"
42,Hủ Tiếu Mì Sơn Cảo,"129 Xô Viết Nghệ Tĩnh, P. An Hội, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.956,10.040901,105.781472,1.0414747910528062,True,True,"https://www.google.com/maps?q=10.040901,105.781472"
43,Bún Bò Hữu Thọ,"37 Đồng Khởi, P. Tân An, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.29,10.031665,105.784741,0.1049889460628074,True,True,"https://www.google.com/maps?q=10.031665,105.784741"
44,Hủ Tiếu Bèo 12k,"Lý Tự Trọng, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.1,10.0353010649351,105.778653435409,0.6836116524143439,False,False,"https://www.google.com/maps?q=10.0353010649351,105.778653435409"
45,Thiện Duyên - Cơm Chay,"262 Đường 30/4, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.75,10.019224,105.767623,2.2612268481114235,True,True,"https://www.google.com/maps?q=10.019224,105.767623"
46,Trà Tiên Hưởng - Trần Văn Khéo,"113 Trần Văn Khéo, P. Cái Khê, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.314,10.045272,105.7853761,1.506327599642966,True,True,"https://www.google.com/maps?q=10.045272,105.7853761"
47,Cari Vịt 777,"137/36C Hoàng Văn Thụ, P. Thới Bình, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,8.026,10.039314,105.779323,0.9668039708224744,True,True,"https://www.google.com/maps?q=10.039314,105.779323"
48,Sữa Chua Chic Chu,"Lô 30 Đường Số 2, Khu Đô Thị Mới Đại Ngân, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,10.0,10.038265,105.761305,2.5675648731026826,True,True,"https://www.google.com/maps?q=10.038265,105.761305"
49,"Highlands Coffee - Trà, Cà Phê & Bánh - 1 3/2 Cần Thơ","1 Đường 3 Tháng 2, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.932,10.0326992,105.774379,1.03701392460876,True,True,"https://www.google.com/maps?q=10.0326992,105.774379"
50,Tiệm Bánh Sông Yến - Đề Thám,"13 Đề Thám, P. Tân An, Quận Ninh Kiều, Cần Thơ",(0292) 3 508 191,7.742,10.0334565,105.7831434,0.19476206172184296,True,True,"https://www.google.com/maps?q=10.0334565,105.7831434"
51,Quán Cô Hương - Bánh Lọt,"Nguyễn Việt Hồng, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.498,10.0309318,105.7783059999999,0.6102693267083459,False,True,"https://www.google.com/maps?q=10.0309318,105.7783059999999"
52,Phố Nướng 102 - Quang Trung,"Quang Trung, Quận Cái Răng, Cần Thơ",Đang cập nhật,7.636,10.02213,105.781251,1.1153150476513052,True,False,"https://www.google.com/maps?q=10.02213,105.781251"
53,6 Liêm - Gỏi Cuốn & Các Món Nhậu,"Mạc Thiên Tích, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,8.6,10.028274,105.773158,1.2316866248569838,False,True,"https://www.google.com/maps?q=10.028274,105.773158"
54,Cô Thanh - Mì Trộn Tóp Mỡ,"Hẻm Chợ Mít Nài, Huỳnh Cương, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,8.2,10.03663,105.779433,0.7172561062063185,False,True,"https://www.google.com/maps?q=10.03663,105.779433"
55,Tiệm Ăn Phong Ký,"748 Đường 30 Tháng 4 (Cạnh Bệnh Viện Y Học Cổ Truyền), P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.584,10.011694,105.758778,3.542179486417837,True,True,"https://www.google.com/maps?q=10.011694,105.758778"
56,Cơm Gà Hùng Ký,"17A Hòa Bình, P. Tân An, Quận Ninh Kiều, Cần Thơ",02923 823 059,7.474,10.032257,105.783033,0.0963926906676684,True,True,"https://www.google.com/maps?q=10.032257,105.783033"
57,Phúc Long Vincom Cần Thơ,"Vincom Cần Thơ, 2 Hùng Vương, P. Thới Bình, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,6.714,10.04553,105.779441,1.5981157413521299,True,True,"https://www.google.com/maps?q=10.04553,105.779441"
58,Trà Sữa Qing Chun,"114 Mậu Thân, P. An Nghiệp, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,8.8,10.037188,105.771785,1.4456121876441825,True,True,"https://www.google.com/maps?q=10.037188,105.771785"
59,Nhà Hàng Bún Thố - Trần Văn Khéo,"149 Trần Văn Khéo, P. An Hội, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.826,10.0441201,105.7834589,1.3686374593040642,True,True,"https://www.google.com/maps?q=10.0441201,105.7834589"
60,MISS DONUT,"13 Võ Văn Tần, P. Tân An, Quận Ninh Kiều, Cần Thơ",(0292) 2 210 974,7.542,10.032119,105.787552,0.4127612165737754,True,True,"https://www.google.com/maps?q=10.032119,105.787552"
61,Quán Cô Mai - Bánh Xèo & Bánh Khọt ,"Võ Trường Toản, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,8.8,10.0478578,105.7663557,2.6151360661006056,False,False,"https://www.google.com/maps?q=10.0478578,105.7663557"
62,Amavo Caffee,"16 Nguyễn Thái Học, P. Tân An, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.69,10.032318,105.787545,0.4143149724372006,True,True,"https://www.google.com/maps?q=10.032318,105.787545"
63,Cô Lợi Cafe,"Trần Hưng Đạo, Quận Ô Môn, Cần Thơ",Đang cập nhật,7.9,10.116497,105.632668,19.058117311339547,False,True,"https://www.google.com/maps?q=10.116497,105.632668"
64,Bún Thái 68 Phương Tâm,"3 Ngô Sĩ Liên, P Hưng Lợi, Quận Ninh Kiều, Cần Thơ",0917 133 336,7.404,10.021078,105.7603987,2.830539382427621,True,True,"https://www.google.com/maps?q=10.021078,105.7603987"
65,Bún Thái 68 Phương Tâm - Trần Chiên,"81 Trần Chiên, P. Lê Bình, Quận Cái Răng, Cần Thơ",Đang cập nhật,9.0,10.003436,105.7554172,4.435111200742637,True,True,"https://www.google.com/maps?q=10.003436,105.7554172"
66,Quán Hồi Đó - Quán Ăn Gia Đình,"227/15A Trần Bình Trọng, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.33,10.0345566,105.7764514,0.8606165045448062,True,True,"https://www.google.com/maps?q=10.0345566,105.7764514"
67,Rau Câu Biển 2 - Lê Anh Xuân,"170 Lê Anh Xuân, P. An Hòa, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.9,10.0397506,105.7714464,1.6157305574940863,True,False,"https://www.google.com/maps?q=10.0397506,105.7714464"
68,Pizza Hut - Big C Cần Thơ,"Lô 1 KDC Hưng Phú 1, P. Hưng Phú, Quận Cái Răng, Cần Thơ",(0292) 3 737 130,7.658,10.013919,105.784842,1.9971323613183376,True,True,"https://www.google.com/maps?q=10.013919,105.784842"
69,Bún Đậu Mắm Tôm 3 Phải - Trần Văn Hoài,"146H Trần Văn Hoài, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.728,10.026881,105.770628,1.5452265264608922,True,True,"https://www.google.com/maps?q=10.026881,105.770628"
70,Gà rán và Mì Ý - Jollibee - Cách Mạng Tháng 8,"15A Cách Mạng Tháng 8, P. An Thới, Quận Bình Thủy, Cần Thơ",Đang cập nhật,4.2,10.058333,105.766994,3.478087797055857,True,True,"https://www.google.com/maps?q=10.058333,105.766994"
71,Cơm Chay Bách Thảo - Mậu Thân,"23 - 25B Mậu Thân, P. An Hòa, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,6.956,10.0399933,105.7681351,1.942574300300958,True,True,"https://www.google.com/maps?q=10.0399933,105.7681351"
72,Ẩm Thực Chay Bách Thảo - Hẻm 51,"51/12/1, Hẻm 51, Đường 3/2, P. Xuân Khánh, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,5.0,10.0257082600197,105.7660891474694,2.0573678752658497,True,True,"https://www.google.com/maps?q=10.0257082600197,105.7660891474694"
73,Kim Hương - Bánh Pateso,"20 Mậu Thân, P. An Phú, Quận Ninh Kiều, Cần Thơ",0963 814 815 - 0909 828 550,7.15,10.0325843,105.7745692,1.015119655569051,True,True,"https://www.google.com/maps?q=10.0325843,105.7745692"
74,Cháo Sò Huyết 1998,"100 Lý Tự Trọng, P. An Cư, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.496,10.035881,105.77827,0.7553507012707702,True,True,"https://www.google.com/maps?q=10.035881,105.77827"
75,MyMy House - Bánh Mì Phô Mai Tan Chảy,"132B5 Hẻm Liên Tổ 1-2, Nguyễn Văn Cừ Nối Dài, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Đang cập nhật,7.5,10.038216,105.763885,2.2956438693378396,True,True,"https://www.google.com/maps?q=10.038216,105.763885"
